,Concept 1,Concept 2,Count
1302,Technologies (Mitigation) – Buildings And Homes Technologies,Vulnerable Groups – Women And Girls,42
1303,Adaptation – Adaptation,Renewables – Solar Energy,449
1304,Renewables – Solar Energy,Vulnerable Groups – Local And Rural Communities,123
1305,Renewables – Solar Energy,Vulnerable Groups – Women And Girls,346
1306,Technologies (Mitigation) – Energy And Power Technologies,Vulnerable Groups – Local And Rural Communities,108
1307,Technologies (Mitigation) – Energy And Power Technologies,Vulnerable Groups – Children,95
1308,Sectors – Health Services,Technologies (Mitigation) – Energy And Power Technologies,206
1309,Technologies (Mitigation) – Energy And Power Technologies,Vulnerable Groups – Women And Girls,193
1310,Vulnerable Groups – Children,Vulnerable Groups – Local And Rural Communities,222
1311,Sectors – Health Services,Vulnerable Groups – Local And Rural Communities,175
1312,Vulnerable Groups – Local And Rural Communities,Vulnerable Groups – Women And Girls,493
1313,Adaptation – Adaptation,Fossil Fuels – Coal,216
1314,Greenhouse Gases – Emissions,Vulnerable Groups – Children,401
1315,Renewables – Bioenergy,Vulnerable Groups – Children,92
1316,Fossil Fuels – Coal,Vulnerable Groups – Children,27
1317,Fossil Fuels – Coal,Policy Instruments – Information And Education,484
1318,Climate Related Hazards – Extreme Weather,Technologies (Mitigation) – Energy And Power Technologies,520
1319,Climate Related Hazards – Extreme Weather,Technologies (Mitigation) – Buildings And Homes Technologies,87
1320,Climate Related Hazards – Extreme Weather,Renewables – Bioenergy,779
1321,Climate Related Hazards – Extreme Weather,Fossil Fuels – Coal,348
1322,Vulnerable Groups – Local And Rural Communities,Vulnerable Groups – Local And Rural Communities,245
1323,Fossil Fuels – Coal,Vulnerable Groups – Local And Rural Communities,41
1324,Fossil Fuels – Coal,Technologies (Mitigation) – Energy And Power Technologies,762
1325,Renewables – Bioenergy,Technologies (Mitigation) – Buildings And Homes Technologies,594
1326,Technologies (Mitigation) – Buildings And Homes Technologies,Technologies (Mitigation) – Buildings And Homes Technologies,445
1327,Fossil Fuels – Coal,Technologies (Mitigation) – Buildings And Homes Technologies,87
1328,Financial Flows – Financial Flow,Renewables – Solar Energy,7876
1329,Policy Instruments – Economic Instruments,Technologies (Mitigation) – Buildings And Homes Technologies,541
1330,Sectors – Energy,Vulnerable Groups – Women And Girls,1106
1331,Climate Related Hazards – Extreme Weather,Technologies (Mitigation) – Waste And Recycling Technologies,104
1332,Technologies (Mitigation) – Waste And Recycling Technologies,Vulnerable Groups – Children,35
1333,Renewables – Solar Energy,Technologies (Mitigation) – Waste And Recycling Technologies,101
1334,Mitigation – Mitigation,Vulnerable Groups – Children,358
1335,Technologies (Mitigation) – Agriculture And Land Management Technologies,Technologies (Mitigation) – Energy And Power Technologies,55
1336,Policy Instruments – Information And Education,Renewables – Wind Energy,352
1337,Barriers And Challenges – Barriers,Vulnerable Groups – Vulnerable Groups,78
1338,Equity And Just Transition – Just Transition,Good Practice And Opportunities – Success,148
1339,Policy Instruments – Governance,Sectors – Tourism,725
1340,Sectors – Fisheries & Aquaculture,Sectors – Water Services,3666
1341,Good Practice And Opportunities – Opportunity,Renewables – Bioenergy,1166
1342,Fossil Fuels – Fossil Fuel,Good Practice And Opportunities – Opportunity,614
1343,Good Practice And Opportunities – Opportunity,Greenhouse Gases – Methane,368
1344,Greenhouse Gases – Methane,Technologies (Mitigation) – Energy And Power Technologies,212
1345,Greenhouse Gases – Methane,Renewables – Renewable Energy (General),329
1346,Fossil Fuels – Gas,Good Practice And Opportunities – Opportunity,575
1347,Good Practice And Opportunities – Opportunity,Technologies (Mitigation) – Energy And Power Technologies,1389
1348,Fossil Fuels – Gas,Technologies (Mitigation) – Energy And Power Technologies,935
1349,Fossil Fuels – Fossil Fuel,Technologies (Mitigation) – Energy And Power Technologies,619
1350,Sectors – Fisheries & Aquaculture,Technologies (Mitigation) – Energy And Power Technologies,151
1351,Equity And Just Transition – Just Transition,Fossil Fuels – Fossil Fuel,639
1352,Equity And Just Transition – Inequality & Human Rights,Equity And Just Transition – Just Transition,650
1353,Equity And Just Transition – Equity And Justice,Renewables – Bioenergy,27
1354,Equity And Just Transition – Equity And Justice,Fossil Fuels – Fossil Fuel,258
1355,Equity And Just Transition – Equity And Justice,Equity And Just Transition – Inequality & Human Rights,570
1356,Equity And Just Transition – Equity And Justice,Sectors – Energy,473
1357,Renewables – Bioenergy,Vulnerable Groups – Women And Girls,174
1358,Fossil Fuels – Fossil Fuel,Vulnerable Groups – Women And Girls,71
1359,Equity And Just Transition – Inequality & Human Rights,Renewables – Bioenergy,11
1360,Equity And Just Transition – Inequality & Human Rights,Fossil Fuels – Fossil Fuel,77
1361,Equity And Just Transition – Inequality & Human Rights,Sectors – Energy,181
1362,Greenhouse Gases – Greenhouse Gases,Technologies (Mitigation) – Buildings And Homes Technologies,726
1363,Good Practice And Opportunities – Success,Vulnerable Groups – Children,95
1364,Greenhouse Gases – Greenhouse Gases,Vulnerable Groups – Indigenous People,324
1365,Renewables – Solar Energy,Vulnerable Groups – Indigenous People,113
1366,Fossil Fuels – Oil,Vulnerable Groups – Indigenous People,199
1367,Sectors – Energy,Vulnerable Groups – Indigenous People,463
1368,Greenhouse Gases – Emissions,Vulnerable Groups – Indigenous People,680
1369,Greenhouse Gases – Carbon Dioxide,Technologies (Mitigation) – Agriculture And Land Management Technologies,278
1370,Barriers And Challenges – Challenges,Fossil Fuels – Gas,451
1371,Deforestation – Afforestation,Greenhouse Gases – Greenhouse Gases,693
1372,Greenhouse Gases – Methane,Renewables – Solar Energy,120
1373,Greenhouse Gases – Methane,Technologies (Mitigation) – Buildings And Homes Technologies,29
1374,Greenhouse Gases – Methane,Technologies (Mitigation) – Transport Technologies,31
1375,Deforestation – Afforestation,Greenhouse Gases – Methane,154
1376,Fossil Fuels – Gas,Technologies (Mitigation) – Buildings And Homes Technologies,223
1377,Fossil Fuels – Gas,Technologies (Mitigation) – Transport Technologies,362
1378,Deforestation – Afforestation,Fossil Fuels – Gas,133
1379,Renewables – Solar Energy,Sectors – Buildings,1163
1380,Renewables – Solar Energy,Technologies (Mitigation) – Transport Technologies,341
1381,Deforestation – Afforestation,Renewables – Solar Energy,44
1382,Deforestation – Afforestation,Sectors – Energy,294
1383,Technologies (Mitigation) – Buildings And Homes Technologies,Technologies (Mitigation) – Transport Technologies,91
1384,Deforestation – Afforestation,Technologies (Mitigation) – Buildings And Homes Technologies,32
1385,Sectors – Buildings,Technologies (Mitigation) – Transport Technologies,175
1386,Deforestation – Afforestation,Sectors – Buildings,12
1387,Deforestation – Afforestation,Technologies (Mitigation) – Transport Technologies,13
1388,Greenhouse Gases – Carbon Dioxide,Sectors – Health Services,104
1389,Capacity Building – Capacity-Building,Renewables – Renewable Energy (General),628
1390,Barriers And Challenges – Barriers,Technologies (Adaptation) – Hazard Management Technologies,296
1391,Equity And Just Transition – Just Transition,Sectors – Buildings,205
1392,Equity And Just Transition – Equity And Justice,Vulnerable Groups – Local And Rural Communities,113
1393,Equity And Just Transition – Equity And Justice,Policy Instruments – Regulatory Instruments,218
1394,Capacity Building – Capacity-Building,Climate Related Hazards – Environmental Degradatation,116
1395,Barriers And Challenges – Challenges,Climate Related Hazards – Marine Hazards,368
1396,Climate Related Hazards – Marine Hazards,Sectors – Water Services,1535
1397,Climate Related Hazards – Environmental Degradatation,Climate Related Hazards – Marine Hazards,994
1398,Equity And Just Transition – Inequality & Human Rights,Sectors – Water Services,255
1399,Climate Related Hazards – Environmental Degradatation,Deforestation – Deforestation,828
1400,Climate Related Hazards – Environmental Degradatation,Climate Related Hazards – Extreme Weather,6379
1401,Climate Related Hazards – Extreme Weather,Deforestation – Deforestation,679
1402,Equity And Just Transition – Just Transition,Vulnerable Groups – Vulnerable Groups,584
1403,Renewables – Renewable Energy (General),Vulnerable Groups – Indigenous People,283
1404,Fossil Fuels – Gas,Vulnerable Groups – Indigenous People,80
1405,Good Practice And Opportunities – Opportunity,Sectors – Transport,1232
1406,Greenhouse Gases – Methane,Sectors – Health Services,146
1407,Renewables – Solar Energy,Sectors – Insurance & Financial Services,693
1408,Sectors – Buildings,Sectors – Insurance & Financial Services,1044
1409,Greenhouse Gases – Emissions,Technologies (Mitigation) – Transport Technologies,2872
1410,Greenhouse Gases – Carbon Dioxide,Technologies (Mitigation) – Buildings And Homes Technologies,59
1411,Greenhouse Gases – Methane,Policy Instruments – Economic Instruments,775
1412,Barriers And Challenges – Barriers,Technologies (Mitigation) – Buildings And Homes Technologies,91
1413,Barriers And Challenges – Barriers,Greenhouse Gases – Methane,211
1414,Deforestation – Afforestation,Technologies (Mitigation) – Energy And Power Technologies,80
1415,Barriers And Challenges – Challenges,Renewables – Solar Energy,545
1416,Fossil Fuels – Oil,Sectors – Buildings,389
1417,Barriers And Challenges – Barriers,Fossil Fuels – Gas,366
1418,Barriers And Challenges – Barriers,Technologies (Mitigation) – Transport Technologies,249
1419,Deforestation – Tropical Forests,Greenhouse Gases – Greenhouse Gases,90
1420,Deforestation – Tropical Forests,Mitigation – Mitigation,57
1421,Adaptation – Adaptation,Deforestation – Tropical Forests,37
1422,Climate Related Hazards – Extreme Weather,Technologies (Adaptation) – Agriculture And Land Management Technologies,180
1423,Financial Flows – Financial Flow,Technologies (Adaptation) – Agriculture And Land Management Technologies,176
1424,Barriers And Challenges – Barriers,Fossil Fuels – Oil,498
1425,Climate Related Hazards – Extreme Weather,Fossil Fuels – Oil,444
1426,Technologies (Adaptation) – Water Management And Conservation Technologies,Technologies (Mitigation) – Agriculture And Land Management Technologies,23
1427,Barriers And Challenges – Challenges,Technologies (Mitigation) – Agriculture And Land Management Technologies,111
1428,Barriers And Challenges – Challenges,Technologies (Adaptation) – Water Management And Conservation Technologies,60
1429,Financial Flows – Financial Flow,Sectors – Fisheries & Aquaculture,3481
1430,Climate Related Hazards – Marine Hazards,Greenhouse Gases – Carbon Dioxide,132
1431,Climate Related Hazards – Marine Hazards,Sectors – Fisheries & Aquaculture,1591
1432,Greenhouse Gases – Carbon Dioxide,Sectors – Fisheries & Aquaculture,271
1433,Climate Related Hazards – Environmental Degradatation,Sectors – Tourism,400
1434,Sectors – Fisheries & Aquaculture,Sectors – Tourism,1567
1435,Greenhouse Gases – Greenhouse Gases,Renewables – Geothermal Energy,524
1436,Fossil Fuels – Gas,Renewables – Geothermal Energy,229
1437,Equity And Just Transition – Just Transition,Equity And Just Transition – Just Transition,4147
1438,Sectors – Fisheries & Aquaculture,Sectors – Health Services,660
1439,Fossil Fuels – Oil,Sectors – Health Services,85
1440,Barriers And Challenges – Barriers,Equity And Just Transition – Inequality & Human Rights,202
1441,Equity And Just Transition – Inequality & Human Rights,"Sectors – Agriculture, Forestry And Other Land Use",308
1442,Barriers And Challenges – Barriers,Good Practice And Opportunities – Opportunity,1340
1443,Climate Related Hazards – Health Hazards,Sectors – Water Services,1828
1444,Greenhouse Gases – Ozone,Sectors – Health Services,205
1445,Climate Related Hazards – Extreme Weather,Climate Related Hazards – Health Hazards,2986
1446,Sectors – Industry,Technologies (Mitigation) – Buildings And Homes Technologies,333
1447,Sectors – Energy,Sectors – Health Services,681
1448,Sectors – Transport,Vulnerable Groups – Local And Rural Communities,44
1449,Sectors – Buildings,Vulnerable Groups – Local And Rural Communities,61
1450,Climate Related Hazards – Extreme Weather,Technologies (Adaptation) – Water Management And Conservation Technologies,382
1451,Financial Flows – Financial Flow,Technologies (Adaptation) – Water Management And Conservation Technologies,503
1452,Policy Instruments – Governance,Technologies (Adaptation) – Water Management And Conservation Technologies,56
1453,Technologies (Adaptation) – Hazard Management Technologies,Vulnerable Groups – Vulnerable Groups,65
1454,Policy Instruments – Governance,Vulnerable Groups – Vulnerable Groups,233
1455,Policy Instruments – Information And Education,Technologies (Adaptation) – Agriculture And Land Management Technologies,208
1456,Deforestation – Afforestation,Sectors – Water Services,255
1457,Climate Related Hazards – Environmental Degradatation,Deforestation – Afforestation,310
1458,Climate Related Hazards – Extreme Weather,Deforestation – Forest-Risk Commodities,1533
1459,Capacity Building – Capacity-Building,Climate Related Hazards – Extreme Weather,317
1460,Policy Instruments – Information And Education,Sectors – Fisheries & Aquaculture,2854
1461,Climate Related Hazards – Marine Hazards,Policy Instruments – Regulatory Instruments,580
1462,Climate Related Hazards – Marine Hazards,Technologies (Adaptation) – Hazard Management Technologies,267
1463,Barriers And Challenges – Barriers,Climate Related Hazards – Marine Hazards,347
1464,Barriers And Challenges – Barriers,Sectors – Fisheries & Aquaculture,670
1465,Capacity Building – Capacity-Building,Renewables – Solar Energy,146
1466,Capacity Building – Capacity-Building,Good Practice And Opportunities – Good Practice,190
1467,Sectors – Transport,Technologies (Mitigation) – Buildings And Homes Technologies,116
1468,Good Practice And Opportunities – Success,Technologies (Adaptation) – Hazard Management Technologies,73
1469,Renewables – Renewable Energy (General),Technologies (Adaptation) – Hazard Management Technologies,119
1470,Capacity Building – Capacity-Building,Sectors – Tourism,94
1471,Sectors – Tourism,Vulnerable Groups – Women And Girls,198
1472,Good Practice And Opportunities – Good Practice,Technologies (Mitigation) – Energy And Power Technologies,149
1473,Barriers And Challenges – Lessons Learned,Good Practice And Opportunities – Good Practice,257
1474,Barriers And Challenges – Lessons Learned,Technologies (Mitigation) – Energy And Power Technologies,16
1475,Good Practice And Opportunities – Opportunity,Renewables – Solar Energy,889
1476,Fossil Fuels – Fossil Fuel,Policy Instruments – Economic Instruments,2819
1477,Fossil Fuels – Fossil Fuel,Renewables – Wind Energy,268
1478,Good Practice And Opportunities – Opportunity,Renewables – Wind Energy,287
1479,Climate Related Hazards – Health Hazards,Deforestation – Forests,395
1480,Greenhouse Gases – Greenhouse Gases,Technologies (Adaptation) – Agriculture And Land Management Technologies,82
1481,Renewables – Bioenergy,Technologies (Adaptation) – Agriculture And Land Management Technologies,81
1482,Adaptation – Adaptation,Greenhouse Gases – Carbon Dioxide,244
1483,Renewables – Renewable Energy (General),Technologies (Adaptation) – Agriculture And Land Management Technologies,8
1484,Mitigation – Mitigation,Technologies (Adaptation) – Agriculture And Land Management Technologies,101
1485,Sectors – Water Services,Technologies (Adaptation) – Agriculture And Land Management Technologies,118
1486,Greenhouse Gases – Carbon Dioxide,Technologies (Adaptation) – Agriculture And Land Management Technologies,8
1487,Deforestation – Afforestation,Greenhouse Gases – Carbon Dioxide,214
1488,Fossil Fuels – Fossil Fuel,"Sectors – Agriculture, Forestry And Other Land Use",884
1489,Deforestation – Afforestation,Fossil Fuels – Fossil Fuel,42
1490,Deforestation – Afforestation,Sectors – Industry,168
1491,Renewables – Hydropower,Technologies (Adaptation) – Hazard Management Technologies,41
1492,Equity And Just Transition – Just Transition,Sectors – Tourism,318
1493,Equity And Just Transition – Inequality & Human Rights,Vulnerable Groups – Children,309
1494,Barriers And Challenges – Challenges,Equity And Just Transition – Inequality & Human Rights,405
1495,Policy Instruments – Governance,Vulnerable Groups – People With Disabilities,29
1496,Good Practice And Opportunities – Opportunity,Vulnerable Groups – People With Disabilities,37
1497,Vulnerable Groups – Children,Vulnerable Groups – People With Disabilities,278
1498,Vulnerable Groups – People With Disabilities,Vulnerable Groups – Women And Girls,326
1499,Sectors – Health Services,Vulnerable Groups – People With Disabilities,234
1500,Equity And Just Transition – Inequality & Human Rights,Policy Instruments – Economic Instruments,345
1501,Climate Related Hazards – Health Hazards,Sectors – Energy,579
1502,Sectors – Insurance & Financial Services,Vulnerable Groups – Children,343
1503,Sectors – Buildings,Technologies (Adaptation) – Water Management And Conservation Technologies,16
1504,Greenhouse Gases – Greenhouse Gases,Vulnerable Groups – Children,250
1505,Renewables – Solar Energy,Sectors – Water Services,1252
1506,Climate Related Hazards – Extreme Weather,Sectors – Tourism,1785
1507,Climate Related Hazards – Health Hazards,Loss And Damage – Loss & Damage,19
1508,Climate Related Hazards – Health Hazards,Renewables – Renewable Energy (General),251
1509,Climate Related Hazards – Extreme Weather,Loss And Damage – Loss & Damage,521
1510,Greenhouse Gases – Emissions,Loss And Damage – Loss & Damage,175
1511,Fossil Fuels – Fossil Fuel,Fossil Fuels – Oil,3505
1512,Sectors – Fisheries & Aquaculture,Technologies (Mitigation) – Carbon Capture And Storage,281
1513,Sectors – Tourism,Sectors – Water Services,967
1514,Climate Related Hazards – Terrestrial Hazards,Greenhouse Gases – Greenhouse Gases,154
1515,Climate Related Hazards – Terrestrial Hazards,Sectors – Transport,157
1516,Climate Related Hazards – Terrestrial Hazards,Sectors – Tourism,197
1517,Climate Related Hazards – Terrestrial Hazards,Greenhouse Gases – Emissions,110
1518,Equity And Just Transition – Gender Equality,Policy Instruments – Economic Instruments,84
1519,Equity And Just Transition – Gender Equality,Sectors – Insurance & Financial Services,106
1520,Fossil Fuels – Fossil Fuel,Sectors – Transport,1299
1521,Financial Flows – Financial Flow,Fossil Fuels – Fossil Fuel,7642
1522,Loss And Damage – Loss & Damage,Loss And Damage – Loss & Damage,754
1523,Equity And Just Transition – Equity And Justice,Greenhouse Gases – Emissions,1249
1524,Equity And Just Transition – Equity And Justice,Mitigation – Mitigation,1039
1525,Climate Related Hazards – Infrastructure Failure,Sectors – Energy,134
1526,Climate Related Hazards – Infrastructure Failure,Policy Instruments – Regulatory Instruments,112
1527,Climate Related Hazards – Infrastructure Failure,Mitigation – Mitigation,4
1528,Renewables – Geothermal Energy,Sectors – Water Services,219
1529,Greenhouse Gases – Perfluorocarbons,Technologies (Mitigation) – Carbon Capture And Storage,71
1530,Greenhouse Gases – Methane,Technologies (Mitigation) – Carbon Capture And Storage,334
1531,Fossil Fuels – Gas,Technologies (Mitigation) – Carbon Capture And Storage,621
1532,Greenhouse Gases – Sulphur Hexafluoride,Technologies (Mitigation) – Carbon Capture And Storage,63
1533,Greenhouse Gases – Nitrous Oxide,Technologies (Mitigation) – Carbon Capture And Storage,128
1534,Fossil Fuels – Coal,Policy Instruments – Governance,537
1535,Climate Related Hazards – Environmental Degradatation,Greenhouse Gases – Nitrous Oxide,53
1536,Climate Related Hazards – Environmental Degradatation,Greenhouse Gases – Methane,259
1537,Climate Related Hazards – Environmental Degradatation,Fossil Fuels – Gas,213
1538,Fossil Fuels – Oil,Policy Instruments – Information And Education,788
1539,Equity And Just Transition – Inequality & Human Rights,Greenhouse Gases – Greenhouse Gases,134
1540,Equity And Just Transition – Inequality & Human Rights,Greenhouse Gases – Emissions,278
1541,Equity And Just Transition – Inequality & Human Rights,Technologies (Adaptation) – Hazard Management Technologies,12
1542,Loss And Damage – Loss & Damage,Policy Instruments – Governance,260
1543,Deforestation – Forest-Risk Commodities,Greenhouse Gases – Ozone,36
1544,Barriers And Challenges – Challenges,Technologies (Adaptation) – Agriculture And Land Management Technologies,42
1545,Sectors – Water Services,Vulnerable Groups – Vulnerable Groups,224
1546,Renewables – Renewable Energy (General),Sectors – Health Services,181
1547,Fossil Fuels – Fossil Fuel,Policy Instruments – Information And Education,485
1548,Climate Related Hazards – Infrastructure Failure,Greenhouse Gases – Emissions,40
1549,Climate Related Hazards – Infrastructure Failure,Greenhouse Gases – Greenhouse Gases,96
1550,Climate Related Hazards – Infrastructure Failure,Policy Instruments – Economic Instruments,46
1551,Climate Related Hazards – Infrastructure Failure,Sectors – Buildings,20
1552,Climate Related Hazards – Infrastructure Failure,Financial Flows – Financial Flow,111
1553,Climate Related Hazards – Infrastructure Failure,Climate Related Hazards – Infrastructure Failure,25
1554,Fossil Fuels – Fossil Fuel,Sectors – Health Services,128
1555,Renewables – Geothermal Energy,Sectors – Health Services,2
1556,Renewables – Geothermal Energy,Renewables – Geothermal Energy,623
1557,Renewables – Heat Pumps,Sectors – Buildings,361
1558,Renewables – Heat Pumps,Technologies (Mitigation) – Buildings And Homes Technologies,1389
1559,Renewables – Heat Pumps,Renewables – Heat Pumps,291
1560,Policy Instruments – Regulatory Instruments,Renewables – Heat Pumps,543
1561,Renewables – Heat Pumps,Sectors – Energy,844
1562,Policy Instruments – Economic Instruments,Renewables – Heat Pumps,270
1563,Renewables – Geothermal Energy,Sectors – Tourism,5
1564,Renewables – Heat Pumps,Sectors – Water Services,53
1565,Sectors – Water Services,Technologies (Mitigation) – Buildings And Homes Technologies,251
1566,Renewables – Geothermal Energy,Sectors – Industry,156
1567,Renewables – Geothermal Energy,Technologies (Mitigation) – Buildings And Homes Technologies,139
1568,Renewables – Geothermal Energy,Renewables – Heat Pumps,123
1569,Renewables – Heat Pumps,Sectors – Industry,173
1570,Barriers And Challenges – Barriers,Renewables – Wind Energy,123
1571,Greenhouse Gases – Emissions,Renewables – Geothermal Energy,514
1572,Greenhouse Gases – Emissions,Renewables – Heat Pumps,250
1573,Barriers And Challenges – Barriers,Renewables – Heat Pumps,47
1574,Fossil Fuels – Fossil Fuel,Sectors – Water Services,297
1575,Climate Related Hazards – Infrastructure Failure,Renewables – Hydropower,15
1576,Barriers And Challenges – Challenges,Renewables – Hydropower,205
1577,Climate Related Hazards – Infrastructure Failure,Sectors – Water Services,48
1578,Barriers And Challenges – Challenges,Climate Related Hazards – Infrastructure Failure,83
1579,Renewables – Hydropower,Sectors – Buildings,45
1580,Equity And Just Transition – Gender Equality,Policy Instruments – Governance,220
1581,Equity And Just Transition – Inequality & Human Rights,Sectors – Buildings,51
1582,Climate Related Hazards – Terrestrial Hazards,Policy Instruments – Governance,147
1583,Climate Related Hazards – Terrestrial Hazards,Technologies (Adaptation) – Hazard Management Technologies,108
1584,International Cooperation – International Cooperation,Sectors – Transport,52
1585,Deforestation – Forests,International Cooperation – International Cooperation,176
1586,Renewables – Renewable Energy (General),Vulnerable Groups – Children,193
1587,Greenhouse Gases – Nitrogen Trifluoride,Greenhouse Gases – Perfluorocarbons,929
1588,Greenhouse Gases – Nitrogen Trifluoride,Sectors – Energy,530
1589,Greenhouse Gases – Emissions,Greenhouse Gases – Nitrogen Trifluoride,1860
1590,Greenhouse Gases – Nitrogen Trifluoride,Sectors – Industry,581
1591,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Nitrogen Trifluoride,902
1592,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Nitrogen Trifluoride,1429
1593,Greenhouse Gases – Nitrogen Trifluoride,Greenhouse Gases – Sulphur Hexafluoride,951
1594,Deforestation – Reforestation,Greenhouse Gases – Carbon Dioxide,140
1595,Deforestation – Reforestation,Greenhouse Gases – Greenhouse Gases,483
1596,Deforestation – Reforestation,Greenhouse Gases – Emissions,1143
1597,Greenhouse Gases – Nitrogen Trifluoride,"Sectors – Agriculture, Forestry And Other Land Use",220
1598,Deforestation – Afforestation,Deforestation – Afforestation,1060
1599,Greenhouse Gases – Hydrofluorocarbons,Sectors – Transport,170
1600,Deforestation – Afforestation,Renewables – Renewable Energy (General),140
1601,Greenhouse Gases – Hydrofluorocarbons,Technologies (Mitigation) – Carbon Capture And Storage,88
1602,Deforestation – Forests,Greenhouse Gases – Sulphur Hexafluoride,469
1603,Climate Related Hazards – Terrestrial Hazards,Deforestation – Forest-Risk Commodities,64
1604,Climate Related Hazards – Terrestrial Hazards,Sectors – Fisheries & Aquaculture,47
1605,Climate Related Hazards – Health Hazards,Greenhouse Gases – Greenhouse Gases,707
1606,Climate Related Hazards – Marine Hazards,Good Practice And Opportunities – Opportunity,198
1607,Good Practice And Opportunities – Opportunity,Sectors – Fisheries & Aquaculture,787
1608,Climate Related Hazards – Health Hazards,Climate Related Hazards – Marine Hazards,184
1609,Climate Related Hazards – Health Hazards,Sectors – Fisheries & Aquaculture,188
1610,Climate Related Hazards – Health Hazards,Greenhouse Gases – Emissions,1888
1611,Deforestation – Forest-Risk Commodities,Renewables – Marine Energy,1
1612,Deforestation – Forest-Risk Commodities,Renewables – Geothermal Energy,9
1613,Renewables – Marine Energy,Sectors – Energy,268
1614,Good Practice And Opportunities – Opportunity,Renewables – Marine Energy,20
1615,Renewables – Geothermal Energy,Renewables – Marine Energy,59
1616,Policy Instruments – Regulatory Instruments,Renewables – Marine Energy,119
1617,Renewables – Bioenergy,Renewables – Marine Energy,114
1618,Renewables – Marine Energy,Sectors – Industry,8
1619,Renewables – Marine Energy,"Sectors – Agriculture, Forestry And Other Land Use",28
1620,Good Practice And Opportunities – Opportunity,Renewables – Geothermal Energy,103
1621,Renewables – Geothermal Energy,"Sectors – Agriculture, Forestry And Other Land Use",83
1622,Barriers And Challenges – Challenges,Renewables – Renewable Energy (General),1235
1623,Good Practice And Opportunities – Success,Renewables – Solar Energy,193
1624,Good Practice And Opportunities – Success,Sectors – Water Services,284
1625,Policy Instruments – Information And Education,Vulnerable Groups – Indigenous People,1338
1626,Mitigation – Mitigation,Vulnerable Groups – Indigenous People,456
1627,Sectors – Insurance & Financial Services,Vulnerable Groups – Indigenous People,384
1628,Greenhouse Gases – Emissions,Vulnerable Groups – Women And Girls,652
1629,Sectors – Tourism,Vulnerable Groups – Children,127
1630,International Cooperation – International Cooperation,Sectors – Tourism,17
1631,Sectors – Tourism,Vulnerable Groups – Indigenous People,72
1632,Equity And Just Transition – Just Transition,Vulnerable Groups – Children,676
1633,Equity And Just Transition – Just Transition,International Cooperation – International Cooperation,123
1634,Equity And Just Transition – Just Transition,Vulnerable Groups – Indigenous People,611
1635,Vulnerable Groups – Children,Vulnerable Groups – Indigenous People,517
1636,International Cooperation – International Cooperation,Vulnerable Groups – Indigenous People,27
1637,Barriers And Challenges – Challenges,Equity And Just Transition – Equity And Justice,559
1638,Barriers And Challenges – Barriers,Equity And Just Transition – Equity And Justice,155
1639,Barriers And Challenges – Lessons Learned,Good Practice And Opportunities – Success,61
1640,Barriers And Challenges – Lessons Learned,Good Practice And Opportunities – Opportunity,125
1641,Good Practice And Opportunities – Opportunity,Good Practice And Opportunities – Success,417
1642,Good Practice And Opportunities – Good Practice,Good Practice And Opportunities – Success,116
1643,Good Practice And Opportunities – Case Study,Vulnerable Groups – Local And Rural Communities,10
1644,Good Practice And Opportunities – Case Study,Good Practice And Opportunities – Opportunity,59
1645,Good Practice And Opportunities – Case Study,Vulnerable Groups – Indigenous People,28
1646,Climate Related Hazards – Marine Hazards,Vulnerable Groups – Indigenous People,40
1647,Climate Related Hazards – Marine Hazards,Policy Instruments – Information And Education,281
1648,Policy Instruments – Economic Instruments,Renewables – Geothermal Energy,333
1649,Climate Related Hazards – Extreme Weather,Technologies (Adaptation) – Buildings And Homes Technologies,120
1650,Financial Flows – Financial Flow,Technologies (Adaptation) – Buildings And Homes Technologies,59
1651,Policy Instruments – Economic Instruments,Technologies (Adaptation) – Buildings And Homes Technologies,22
1652,Sectors – Tourism,Technologies (Adaptation) – Buildings And Homes Technologies,3
1653,Fossil Fuels – Gas,Renewables – Heat Pumps,105
1654,Fossil Fuels – Oil,Renewables – Heat Pumps,175
1655,Greenhouse Gases – Greenhouse Gases,Renewables – Heat Pumps,408
1656,Fossil Fuels – Oil,Technologies (Mitigation) – Buildings And Homes Technologies,278
1657,Renewables – Heat Pumps,Renewables – Solar Energy,288
1658,Climate Related Hazards – Environmental Degradatation,Climate Related Hazards – Health Hazards,336
1659,Climate Related Hazards – Environmental Degradatation,Sectors – Fisheries & Aquaculture,1079
1660,Climate Related Hazards – Marine Hazards,Sectors – Energy,140
1661,Greenhouse Gases – Methane,Greenhouse Gases – Nitrogen Trifluoride,560
1662,Fossil Fuels – Gas,Greenhouse Gases – Nitrogen Trifluoride,272
1663,Greenhouse Gases – Nitrogen Trifluoride,Greenhouse Gases – Nitrous Oxide,284
1664,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Nitrogen Trifluoride,390
1665,Greenhouse Gases – Nitrogen Trifluoride,Greenhouse Gases – Nitrogen Trifluoride,192
1666,Good Practice And Opportunities – Good Practice,Technologies (Mitigation) – Carbon Capture And Storage,58
1667,Adaptation – Adaptation,Renewables – Wind Energy,73
1668,Sectors – Industry,Sectors – Tourism,232
1669,Climate Related Hazards – Marine Hazards,Sectors – Tourism,491
